Año,Periodo,Compraventa_nueva,Compraventa_usadas,Total_compraventa,Precio_m2,Hipotecas,Deuda_familias
2017,Enero,5.1,21.06,17.93,2.8,14.12,3.24
2017,Febrero,16.01,6.39,1.49,6,2.04,3.19
2017,Marzo,21.55,29.73,28.17,4.07,19.52,2.97
2017,Abril,22.96,4.36,8.12,8.23,12.51,3
2017,Mayo,10.7,26.88,23.83,3.8,6.96,2.98
2017,Junio,16.9,19.1,18.71,4.18,13.85,3.02
2017,Julio,15.64,19.47,18.77,7.5,28.44,3.04
2017,Agosto,22.27,15.71,16.84,5.98,22.62,2.97
2017,Septiembre,21.81,10.03,12.06,7.19,9.88,2.97
2017,Octubre,29.26,26.47,26.97,2.29,4,2.97
2017,Noviembre,29.35,17.41,19.42,4.34,0.5,2.99
2017,Diciembre,12.11,10.15,10.5,1.69,3.27,2.86
2018,Enero,24.38,24.26,24.28,1.43,11.32,2.86
2018,Febrero,15.45,16.42,16.24,1.03,12.59,2.78
2018,Marzo,4.89,1.68,2.26,1.34,5.72,2.6
2018,Abril,27.87,31.37,30.78,1.38,37.93,2.51
2018,Mayo,8.34,3.57,4.37,1.64,6.66,2.29
2018,Junio,1.4,2.65,2.43,1.87,2.65,1.94
2018,Julio,9.05,18.5,16.83,1.9,15.76,1.91
2018,Agosto,9.11,7.56,7.83,4.82,9.8,1.8
2018,Septiembre,10.17,10.85,10.73,4.66,9.46,1.79
2018,Octubre,14.77,15.86,15.66,1.78,20.77,1.64
2018,Noviembre,6.82,3.27,3.92,4.11,18.27,1.41
2018,Diciembre,6.06,4.47,4.75,5.64,3.11,1.51
2019,Enero,11.68,1.28,0.98,4.63,17.43,1.32
2019,Febrero,17.61,3.68,6.19,1.69,8.11,1.24
2019,Marzo,13.85,5.65,7.09,4.55,16.11,1.18
2019,Abril,7.62,4.81,2.75,0.94,3.25,1.26
2019,Mayo,1.1,3.11,2.76,1.6,13.88,1.2
2019,Junio,7.96,7.88,7.9,1.99,1.38,1.34
2019,Julio,12.81,3.15,4.74,3.5,13.82,1.41
2019,Agosto,21.84,19.98,20.32,6.69,27.71,1.32
2019,Septiembre,19.29,9.52,11.34,0,29.38,0.6
2019,Octubre,2.12,0.83,0.29,2.22,3.46,0.54
2019,Noviembre,3.27,9.94,8.69,2.32,0.97,0.53
2019,Diciembre,6.7,0.96,1.99,1.34,51.18,0.48
2020,Enero,9.2,0.85,2.46,2.78,14.8,0.51
2020,Febrero,3.95,1.96,2.36,3.8,20.34,0.45
2020,Marzo,16.83,16.32,16.42,1.74,13.73,0.73
2020,Abril,38.15,38.28,38.25,6.71,16.86,0.82
2020,Mayo,48.64,54.09,53.15,5.27,28.49,
2020,Junio,23.89,34.84,32.94,0.72,10.64,
2020,Julio,21.02,34.67,32.24,4.98,19.76,
2020,Agosto,7.22,15.63,11.56,5.57,3.9,
2020,Septiembre,29.49,6.96,0.78,5.79,21.1,
2020,Octubre,5.2,14.48,12.74,3.53,5.94,
2020,Noviembre,2.9,3.13,3.08,3.22,5.83,
2020,Diciembre,11.48,2.23,3.97,1.02,18.17,
2021,Enero,0.92,17.84,14.47,0.28,34.37,1.5
2021,Febrero,9.72,7.61,4.1,0.77,17.31,1.48
2021,Marzo,49.61,27.99,32.01,0.2,35.26,1.17
2021,Abril,81.8,62.92,66.39,2.26,33.01,0.91
2021,Mayo,115.08,105.9,107.63,0.5,35.95,
2021,Junio,71.04,74.05,73.46,6.52,33.27,
2021,Julio,40.2,56.92,53.45,9.38,24.74,
2021,Agosto,40.94,62.57,57.9,10.58,55.4,
2021,Septiembre,30.09,43.61,40.62,12.05,46.57,
2021,Octubre,21.63,22.38,22.23,10.9,28.64,
2021,Noviembre,30.5,22.86,24.37,10.98,25.99,
2021,Diciembre,30.29,33.51,32.86,8.13,21.37,
2022,Enero,17.21,34.73,31.01,10.28,25.68,
2022,Febrero,9.19,28.43,23.98,10.72,14.7,
2022,Marzo,15.69,28.26,25.61,11.15,16.71,
2022,Abril,3.38,13.99,11.86,6.49,,
